working dir: /data/zjl/192-torch2/VideoX-master/X-CLIP/Output/
Train: [0/300][6850/9358]	eta 0:12:58 lr 0.000000293	time 0.2967 (0.3104)	tot_loss 0.3015 (0.4509)	mem 6730MB
Train: [0/300][6900/9358]	eta 0:12:42 lr 0.000000295	time 0.3241 (0.3104)	tot_loss 0.4254 (0.4500)	mem 6730MB
Train: [0/300][6950/9358]	eta 0:12:27 lr 0.000000297	time 0.2951 (0.3104)	tot_loss 0.1807 (0.4493)	mem 6730MB
Train: [0/300][7000/9358]	eta 0:12:12 lr 0.000000299	time 0.2958 (0.3105)	tot_loss 0.6156 (0.4485)	mem 6730MB
Train: [0/300][7050/9358]	eta 0:11:56 lr 0.000000301	time 0.3438 (0.3104)	tot_loss 0.3070 (0.4477)	mem 6730MB
Train: [0/300][7100/9358]	eta 0:11:40 lr 0.000000303	time 0.2933 (0.3103)	tot_loss 0.3409 (0.4468)	mem 6730MB
Train: [0/300][7150/9358]	eta 0:11:25 lr 0.000000305	time 0.3362 (0.3103)	tot_loss 0.4034 (0.4461)	mem 6730MB
Train: [0/300][7200/9358]	eta 0:11:09 lr 0.000000308	time 0.2508 (0.3101)	tot_loss 0.2661 (0.4453)	mem 6730MB
Train: [0/300][7250/9358]	eta 0:10:53 lr 0.000000310	time 0.2672 (0.3102)	tot_loss 0.1371 (0.4447)	mem 6730MB
Train: [0/300][7300/9358]	eta 0:10:38 lr 0.000000312	time 0.3038 (0.3102)	tot_loss 0.1662 (0.4441)	mem 6730MB
Train: [0/300][7350/9358]	eta 0:10:22 lr 0.000000314	time 0.3182 (0.3102)	tot_loss 0.1363 (0.4434)	mem 6730MB
Train: [0/300][7400/9358]	eta 0:10:07 lr 0.000000316	time 0.2738 (0.3102)	tot_loss 0.3957 (0.4429)	mem 6730MB
Train: [0/300][7450/9358]	eta 0:09:52 lr 0.000000318	time 0.3080 (0.3105)	tot_loss 0.1201 (0.4422)	mem 6730MB
Train: [0/300][7500/9358]	eta 0:09:36 lr 0.000000321	time 0.2513 (0.3105)	tot_loss 0.2759 (0.4417)	mem 6730MB
Train: [0/300][7550/9358]	eta 0:09:21 lr 0.000000323	time 0.2678 (0.3103)	tot_loss 0.4093 (0.4410)	mem 6730MB
Train: [0/300][7600/9358]	eta 0:09:05 lr 0.000000325	time 0.3404 (0.3105)	tot_loss 0.6786 (0.4408)	mem 6730MB
Train: [0/300][7650/9358]	eta 0:08:50 lr 0.000000327	time 0.3230 (0.3105)	tot_loss 0.4056 (0.4403)	mem 6730MB
Train: [0/300][7700/9358]	eta 0:08:34 lr 0.000000329	time 0.2893 (0.3106)	tot_loss 0.3340 (0.4398)	mem 6730MB
Train: [0/300][7750/9358]	eta 0:08:19 lr 0.000000331	time 0.3019 (0.3105)	tot_loss 0.3550 (0.4392)	mem 6730MB
Train: [0/300][7800/9358]	eta 0:08:04 lr 0.000000333	time 0.2967 (0.3107)	tot_loss 0.1774 (0.4387)	mem 6730MB
Train: [0/300][7850/9358]	eta 0:07:48 lr 0.000000335	time 0.3001 (0.3106)	tot_loss 0.5129 (0.4382)	mem 6730MB
Train: [0/300][7900/9358]	eta 0:07:33 lr 0.000000338	time 0.3373 (0.3108)	tot_loss 0.8959 (0.4376)	mem 6730MB
Train: [0/300][7950/9358]	eta 0:07:17 lr 0.000000340	time 0.2922 (0.3108)	tot_loss 0.5547 (0.4373)	mem 6730MB
Train: [0/300][8000/9358]	eta 0:07:02 lr 0.000000342	time 0.2634 (0.3110)	tot_loss 0.2351 (0.4366)	mem 6730MB
Train: [0/300][8050/9358]	eta 0:06:46 lr 0.000000344	time 0.3355 (0.3109)	tot_loss 0.1219 (0.4358)	mem 6730MB
Train: [0/300][8100/9358]	eta 0:06:31 lr 0.000000346	time 0.2810 (0.3112)	tot_loss 0.1244 (0.4355)	mem 6730MB
Train: [0/300][8150/9358]	eta 0:06:15 lr 0.000000348	time 0.2948 (0.3111)	tot_loss 0.3895 (0.4350)	mem 6730MB
Train: [0/300][8200/9358]	eta 0:06:00 lr 0.000000350	time 0.2757 (0.3109)	tot_loss 0.3768 (0.4345)	mem 6730MB
Train: [0/300][8250/9358]	eta 0:05:44 lr 0.000000353	time 0.2721 (0.3108)	tot_loss 0.2234 (0.4338)	mem 6730MB
Train: [0/300][8300/9358]	eta 0:05:28 lr 0.000000355	time 0.2704 (0.3106)	tot_loss 0.5364 (0.4331)	mem 6730MB
Train: [0/300][8350/9358]	eta 0:05:13 lr 0.000000357	time 0.2987 (0.3106)	tot_loss 0.1753 (0.4327)	mem 6730MB
Train: [0/300][8400/9358]	eta 0:04:57 lr 0.000000359	time 0.2577 (0.3106)	tot_loss 0.5205 (0.4323)	mem 6730MB
Train: [0/300][8450/9358]	eta 0:04:41 lr 0.000000361	time 0.2638 (0.3106)	tot_loss 0.4884 (0.4319)	mem 6730MB
Train: [0/300][8500/9358]	eta 0:04:26 lr 0.000000363	time 0.3485 (0.3105)	tot_loss 0.2894 (0.4316)	mem 6730MB
Train: [0/300][8550/9358]	eta 0:04:10 lr 0.000000365	time 0.2372 (0.3106)	tot_loss 0.6195 (0.4313)	mem 6730MB
Train: [0/300][8600/9358]	eta 0:03:55 lr 0.000000368	time 0.3248 (0.3107)	tot_loss 0.4374 (0.4310)	mem 6730MB
Train: [0/300][8650/9358]	eta 0:03:39 lr 0.000000370	time 0.3179 (0.3106)	tot_loss 0.1642 (0.4304)	mem 6730MB
Train: [0/300][8700/9358]	eta 0:03:24 lr 0.000000372	time 0.2790 (0.3105)	tot_loss 0.3193 (0.4301)	mem 6730MB
Train: [0/300][8750/9358]	eta 0:03:08 lr 0.000000374	time 0.2569 (0.3103)	tot_loss 0.4741 (0.4298)	mem 6730MB
Train: [0/300][8800/9358]	eta 0:02:53 lr 0.000000376	time 0.2954 (0.3103)	tot_loss 0.1602 (0.4295)	mem 6730MB
Train: [0/300][8850/9358]	eta 0:02:37 lr 0.000000378	time 0.2879 (0.3103)	tot_loss 0.5413 (0.4292)	mem 6730MB
Train: [0/300][8900/9358]	eta 0:02:22 lr 0.000000380	time 0.2504 (0.3101)	tot_loss 0.6860 (0.4288)	mem 6730MB
Train: [0/300][8950/9358]	eta 0:02:06 lr 0.000000382	time 0.3033 (0.3101)	tot_loss 0.6415 (0.4281)	mem 6730MB
Train: [0/300][9000/9358]	eta 0:01:51 lr 0.000000385	time 0.2956 (0.3103)	tot_loss 0.1461 (0.4278)	mem 6730MB
Train: [0/300][9050/9358]	eta 0:01:35 lr 0.000000387	time 0.2977 (0.3103)	tot_loss 0.2922 (0.4274)	mem 6730MB
Train: [0/300][9100/9358]	eta 0:01:20 lr 0.000000389	time 0.3069 (0.3102)	tot_loss 0.1851 (0.4270)	mem 6730MB
Train: [0/300][9150/9358]	eta 0:01:04 lr 0.000000391	time 0.3530 (0.3102)	tot_loss 0.1350 (0.4264)	mem 6730MB
Train: [0/300][9200/9358]	eta 0:00:49 lr 0.000000393	time 0.2739 (0.3103)	tot_loss 0.4560 (0.4259)	mem 6730MB
Train: [0/300][9250/9358]	eta 0:00:33 lr 0.000000395	time 0.3260 (0.3105)	tot_loss 0.5160 (0.4258)	mem 6730MB
Train: [0/300][9300/9358]	eta 0:00:18 lr 0.000000397	time 0.2521 (0.3104)	tot_loss 0.4607 (0.4254)	mem 6730MB
Train: [0/300][9350/9358]	eta 0:00:02 lr 0.000000400	time 0.2614 (0.3104)	tot_loss 0.4647 (0.4252)	mem 6730MB
EPOCH 0 training takes 0:48:24
1 views inference
